20110722132215AAhK2dl,Answered,the area i live in is in Excessive Heat Warning and it says to stay indoors it is about 117 degrees Farenheit?,does that mean i shouldnt go swimming? ,7/22/11 13:22,1311340935,http://answers.yahoo.com/question/?qid=20110722132215AAhK2dl,396546500,Other - General Health Care,396545018,Health,SRCupK5oaa,3,Y6LRmAb2aa,1311346864
20090407004113AAAqLzc,Answered,help! i need to lose 10lbs so my dad will finally be concerned about me?,"i know it sounds messed up, but for some reason i just feel like i cant stop losing weight until my dad notices that im thin.  it bothers me so much that my aunt and my grandparents tell me i  need to put meat on my bones  but my dad never says anything like that.  all he does is tell me when ive been eating too much, or too unhealthily. im 17 5'5  98lbs maybe its because i dont look sick? i mean, i exercise, so i look toned, and i eat 1400-1800 cal  a day ",4/7/09 0:41,1239064873,http://answers.yahoo.com/question/?qid=20090407004113AAAqLzc,396545382,Diet & Fitness,396545018,Health,7swefA6Paa,9,dwuJt06qaa,1239215222
20101019090007AATiY1u,Answered,What brands of color contacts are available besides...?,"Freshlook for astigmatism?  I had that brand and didn't like them...they were very uncomfortable, dried my eyes out and felt like they were poking the insides of my lids.  So are there any they will provide comfort and for users with astigmatism? ",10/19/10 9:00,1287478808,http://answers.yahoo.com/question/?qid=20101019090007AATiY1u,2115500199,Optical,396545018,Health,SjzYDLMVaa,1,968YIknKaa,1287689595
20081213203311AAsZogS,Answered,How do you get  any sort of hepatitis ?,my husbands friend has an enlarged liver and they told him that he may have some sort of hepatitis what causes ppl to get this and is it ontagious or something plz explain the symptoms and everything that goes along with it my husband says he takes a lot of supplements to enhance his  body and  muscles and works out to be bigger could this be the reason or not contagious ,12/13/08 20:33,1229200391,http://answers.yahoo.com/question/?qid=20081213203311AAsZogS,396545386,Infectious Diseases,396545018,Health,TaTCbLSzaa,2,DgtKoTsQaa,1229246261
20100111025127AAWDt0l,Answered,"I'm really struggling, how can I get past this?","My boyfriend broke up with me this week. I can't cope. He chose the worst time. I was depressed already and I have nothing to do at the moment because of uni holidays. My volunteer work has january off. My best friend moved overseas, it's forty degrees outside and my sister just got a new boyfriend as is never around. I miss her so much. I need her around but she's not. It also makes it hard because she's going through the romantic sweet stage and it makes me miss him so much. I kept turning to bad things to get me through like drinking, binge eating and drugs. I've decided to stop but I don't know what to replace it with. I feel so alone. I don't know how to get through this. please don't preach to me about drugs. I don't need that right now. ",1/11/10 2:51,1263178287,http://answers.yahoo.com/question/?qid=20100111025127AAWDt0l,396546043,Mental Health,396545018,Health,91JyaGxvaa,4,SiKQO4JCaa,1263214118
20090115221327AAoiAvI,Answered,Why can't I donate blood?,"I'm about 5'2  and 107 pounds.. I think I'm at a healthy weight for my height.  It's not fair that you have to be 110 pounds to donate blood... it's bs if you ask me. If you are like 2-3 pounds under it shouldn't matter right?  I am healthy, everythings fine, just my weight.  So why is it such a big deal that I'm under 110 pounds? yeah i tried saying i was 115 last year and they actually took out the scale for me.. haha ",1/15/09 22:13,1232057607,http://answers.yahoo.com/question/?qid=20090115221327AAoiAvI,396545393,Other - Health,396545018,Health,YCQfagm5aa,6,88581cf566c30acddb7ffe0f4e82d631aa,1233007944
20100930002805AA7QfDz,Answered,Does the media contribute to cavalier attitudes towards food allergies?,"I've seen several movies and recently even a television commercial in which a character's food allergy was used as a comedic device. As a person who is allergic to shellfish, this has always bothered me. There is nothing funny about food allergies, and I've only seen it treated as serious in the media in a handful of movies.   I also recently saw this article, which I find rather distressing: http://www.msnbc.msn.com/id/39389689/ns/health-allergies_and_asthma/  My question is, do you think that the common depictions of food allergies as funny in the media is contributing to this? And what do you think is a good way to spread awareness of the seriousness of allergies? ",9/30/10 0:28,1285806485,http://answers.yahoo.com/question/?qid=20100930002805AA7QfDz,396545383,Allergies,396545018,Health,ztb7OCvyaa,1,O5sppBE3aa,1286042269
20061109055440AAL2UMs,Answered,Why do we see million of tiny dots in our vision like tv snow clearly in the dark?,"I seem to see it all the time,but I see it more obviously in darker place or when I wasn't wearing glasses and focus looking at something...Is it normal and common? ",11/9/06 5:54,1163051680,http://answers.yahoo.com/question/?qid=20061109055440AAL2UMs,396546500,Other - General Health Care,396545018,Health,AA11911134,3,8b891f5e21937615e4312b933977934daa,1163572583
20100201231250AAsb2gc,Answered,question about the pill?,"I started my first pack of BC pills, but after three days of taking it decided to quit until i got my period so i knew when to expect it. I got my period today so should i start that pack up again or start a whole new pack? and when should i start taking it? ",2/1/10 23:12,1265065970,http://answers.yahoo.com/question/?qid=20100201231250AAsb2gc,396545203,Women's Health,396545018,Health,SJwCJnxpaa,5,8ZEXiSBLaa,1265585576
20070408162250AAbga1P,Answered,Can someone explaine good fat for me?,"My boyfiend it trying to diet pretty agressivly with a low fat diet.  I get confused on what is good fat is, especially when trying to keep you diet well under 65 grams.  Can you eat unlimited amounts of good fat, calories aside.  For example my boyfriend loves avacadoes and will eat 2-3 a day thinking they are good for him cause they are vegies but they have a lot of good fat.  Also what about nuts?  Is this a good diet choice or should it be avoided? ",4/8/07 16:22,1176049370,http://answers.yahoo.com/question/?qid=20070408162250AAbga1P,396545382,Diet & Fitness,396545018,Health,LwyukrGJaa,5,f10da3eb79107980c9b81bc3d4ddc0e6aa,1176220454
